district,date,month,year,visitors
Jayashankar Bhoopalpally,01-11-2019,November,2019,0
Jayashankar Bhoopalpally,01-12-2019,December,2019,0
Jogulamba Gadwal ,01-01-2019,January,2019,36
Jogulamba Gadwal ,01-02-2019,February,2019,6
Jogulamba Gadwal ,01-03-2019,March,2019,22
Jogulamba Gadwal ,01-04-2019,April,2019,16
Jogulamba Gadwal ,01-05-2019,May,2019,20
Jogulamba Gadwal ,01-06-2019,June,2019,22
Jogulamba Gadwal ,01-07-2019,July,2019,37
Jogulamba Gadwal ,01-08-2019,August,2019,42
Jogulamba Gadwal ,01-09-2019,September,2019,25
Jogulamba Gadwal ,01-10-2019,October,2019,13
Jogulamba Gadwal ,01-11-2019,November,2019,45
Jogulamba Gadwal ,01-12-2019,December,2019,11
Kamareddy ,01-01-2019,January,2019,0
Kamareddy ,01-02-2019,February,2019,0
Kamareddy ,01-03-2019,March,2019,0
Kamareddy ,01-04-2019,April,2019,0
Kamareddy ,01-05-2019,May,2019,0
Kamareddy ,01-06-2019,June,2019,0
Kamareddy ,01-07-2019,July,2019,0
Kamareddy ,01-08-2019,August,2019,0
Kamareddy ,01-09-2019,September,2019,0
Kamareddy ,01-10-2019,October,2019,0
Kamareddy ,01-11-2019,November,2019,0
Kamareddy ,01-12-2019,December,2019,0
Karimnagar ,01-01-2019,January,2019,0
Karimnagar ,01-02-2019,February,2019,0
Karimnagar ,01-03-2019,March,2019,0
Karimnagar ,01-04-2019,April,2019,0
Karimnagar ,01-05-2019,May,2019,0
Karimnagar ,01-06-2019,June,2019,0
Karimnagar ,01-07-2019,July,2019,0
Karimnagar ,01-08-2019,August,2019,0
Karimnagar ,01-09-2019,September,2019,0
Karimnagar ,01-10-2019,October,2019,0
Karimnagar ,01-11-2019,November,2019,0
Karimnagar ,01-12-2019,December,2019,0
Khammam,01-01-2019,January,2019,0
Khammam,01-02-2019,February,2019,0
Khammam,01-03-2019,March,2019,0
Khammam,01-04-2019,April,2019,0
Khammam,01-05-2019,May,2019,0
Khammam,01-06-2019,June,2019,0
Khammam,01-07-2019,July,2019,0
Khammam,01-08-2019,August,2019,0
Khammam,01-09-2019,September,2019,0
Khammam,01-10-2019,October,2019,0
Khammam,01-11-2019,November,2019,0
Khammam,01-12-2019,December,2019,0
Komaram Bheem Asifabad,01-01-2019,January,2019,0
Komaram Bheem Asifabad,01-02-2019,February,2019,0
Komaram Bheem Asifabad,01-03-2019,March,2019,0
Komaram Bheem Asifabad,01-04-2019,April,2019,0
Komaram Bheem Asifabad,01-05-2019,May,2019,0
Komaram Bheem Asifabad,01-06-2019,June,2019,0
Komaram Bheem Asifabad,01-07-2019,July,2019,0
Komaram Bheem Asifabad,01-08-2019,August,2019,0
Komaram Bheem Asifabad,01-09-2019,September,2019,0
Komaram Bheem Asifabad,01-10-2019,October,2019,0
Komaram Bheem Asifabad,01-11-2019,November,2019,0
Komaram Bheem Asifabad,01-12-2019,December,2019,0
Mahabubabad ,01-01-2019,January,2019,0
Mahabubabad ,01-02-2019,February,2019,0
Mahabubabad ,01-03-2019,March,2019,0
Mahabubabad ,01-04-2019,April,2019,0
Mahabubabad ,01-05-2019,May,2019,0
Mahabubabad ,01-06-2019,June,2019,0
Mahabubabad ,01-07-2019,July,2019,0
Mahabubabad ,01-08-2019,August,2019,0
Mahabubabad ,01-09-2019,September,2019,0
Mahabubabad ,01-10-2019,October,2019,0
Mahabubabad ,01-11-2019,November,2019,0
Mahabubabad ,01-12-2019,December,2019,0
Mahbubnagar,01-01-2019,January,2019,45
Mahbubnagar,01-02-2019,February,2019,29
Mahbubnagar,01-03-2019,March,2019,28
Mahbubnagar,01-04-2019,April,2019,34
Mahbubnagar,01-05-2019,May,2019,20
Mahbubnagar,01-06-2019,June,2019,28
Mahbubnagar,01-07-2019,July,2019,47
Mahbubnagar,01-08-2019,August,2019,44
Mahbubnagar,01-09-2019,September,2019,34
Mahbubnagar,01-10-2019,October,2019,37
Mahbubnagar,01-11-2019,November,2019,68
Mahbubnagar,01-12-2019,December,2019,26
Mancherial,01-01-2019,January,2019,0
Mancherial,01-02-2019,February,2019,0
Mancherial,01-03-2019,March,2019,0
Mancherial,01-04-2019,April,2019,0
Mancherial,01-05-2019,May,2019,0
Mancherial,01-06-2019,June,2019,0
Mancherial,01-07-2019,July,2019,0
Mancherial,01-08-2019,August,2019,0
Mancherial,01-09-2019,September,2019,0
Mancherial,01-10-2019,October,2019,0
Mancherial,01-11-2019,November,2019,10
Mancherial,01-12-2019,December,2019,0
Medak ,01-01-2019,January,2019,0
Medak ,01-02-2019,February,2019,0
Medak ,01-03-2019,March,2019,0
Medak ,01-04-2019,April,2019,0
Medak ,01-05-2019,May,2019,0
Medak ,01-06-2019,June,2019,0
Medak ,01-07-2019,July,2019,0
Medak ,01-08-2019,August,2019,0
Medak ,01-09-2019,September,2019,0
Medak ,01-10-2019,October,2019,0
Medak ,01-11-2019,November,2019,0
Medak ,01-12-2019,December,2019,0
Medchal ,01-01-2019,January,2019, 
Medchal ,01-02-2019,February,2019, 
Medchal ,01-03-2019,March,2019, 
Medchal ,01-04-2019,April,2019, 
Medchal ,01-05-2019,May,2019, 
Medchal ,01-06-2019,June,2019, 
Medchal ,01-07-2019,July,2019, 
Medchal ,01-08-2019,August,2019, 
Medchal ,01-09-2019,September,2019, 
Medchal ,01-10-2019,October,2019, 
Medchal ,01-11-2019,November,2019, 
Medchal ,01-12-2019,December,2019, 
Mulugu,01-01-2019,January,2019,0
Mulugu,01-02-2019,February,2019,45
Mulugu,01-03-2019,March,2019,40
Mulugu,01-04-2019,April,2019,40
Mulugu,01-05-2019,May,2019,40
Mulugu,01-06-2019,June,2019,50
Mulugu,01-07-2019,July,2019,55
Mulugu,01-08-2019,August,2019,50
Mulugu,01-09-2019,September,2019,60
Mulugu,01-10-2019,October,2019,60
Mulugu,01-11-2019,November,2019,70
Mulugu,01-12-2019,December,2019,65
Nagarkurnool ,01-01-2019,January,2019,35
Nagarkurnool ,01-02-2019,February,2019,15
Nagarkurnool ,01-03-2019,March,2019,14
Nagarkurnool ,01-04-2019,April,2019,18
Nagarkurnool ,01-05-2019,May,2019,14
Nagarkurnool ,01-06-2019,June,2019,14
Nagarkurnool ,01-07-2019,July,2019,17
Nagarkurnool ,01-08-2019,August,2019,22
Nagarkurnool ,01-09-2019,September,2019,7
Nagarkurnool ,01-10-2019,October,2019,3
Nagarkurnool ,01-11-2019,November,2019,30
Nagarkurnool ,01-12-2019,December,2019,10
Nalgonda,01-01-2019,January,2019,0
Nalgonda,01-02-2019,February,2019,0
Nalgonda,01-03-2019,March,2019,0
Nalgonda,01-04-2019,April,2019,0
Nalgonda,01-05-2019,May,2019,0
Nalgonda,01-06-2019,June,2019,0
Nalgonda,01-07-2019,July,2019,0
Nalgonda,01-08-2019,August,2019,0
Nalgonda,01-09-2019,September,2019,0
Nalgonda,01-10-2019,October,2019,0
Nalgonda,01-11-2019,November,2019,0
Nalgonda,01-12-2019,December,2019,0
Narayanpet,01-01-2019,January,2019,0
Narayanpet,01-02-2019,February,2019,0
Narayanpet,01-03-2019,March,2019,0
Narayanpet,01-04-2019,April,2019,0
Narayanpet,01-05-2019,May,2019,0
Narayanpet,01-06-2019,June,2019,0
Narayanpet,01-07-2019,July,2019,0
Narayanpet,01-08-2019,August,2019,0
Narayanpet,01-09-2019,September,2019,0
Narayanpet,01-10-2019,October,2019,0
Narayanpet,01-11-2019,November,2019,0
Narayanpet,01-12-2019,December,2019,5
Nirmal,01-01-2019,January,2019,0
Nirmal,01-02-2019,February,2019,0
Nirmal,01-03-2019,March,2019,0
Nirmal,01-04-2019,April,2019,0
Nirmal,01-05-2019,May,2019,0
Nirmal,01-06-2019,June,2019,0
Nirmal,01-07-2019,July,2019,0
Nirmal,01-08-2019,August,2019,0
Nirmal,01-09-2019,September,2019,0
Nirmal,01-10-2019,October,2019,0
Nirmal,01-11-2019,November,2019,0
Nirmal,01-12-2019,December,2019,0
Nizamabad,01-01-2019,January,2019,0
Nizamabad,01-02-2019,February,2019,1
Nizamabad,01-03-2019,March,2019,0
Nizamabad,01-04-2019,April,2019,0
Nizamabad,01-05-2019,May,2019,0
Nizamabad,01-06-2019,June,2019,0
Nizamabad,01-07-2019,July,2019,0
Nizamabad,01-08-2019,August,2019,0
Nizamabad,01-09-2019,September,2019,0
Nizamabad,01-10-2019,October,2019,0
Nizamabad,01-11-2019,November,2019,0
Nizamabad,01-12-2019,December,2019,0
Peddapalli,01-01-2019,January,2019,0
Peddapalli,01-02-2019,February,2019,0
Peddapalli,01-03-2019,March,2019,0
Peddapalli,01-04-2019,April,2019,0
Peddapalli,01-05-2019,May,2019,0
Peddapalli,01-06-2019,June,2019,0
Peddapalli,01-07-2019,July,2019,0
Peddapalli,01-08-2019,August,2019,0
Peddapalli,01-09-2019,September,2019,0
Peddapalli,01-10-2019,October,2019,0
Peddapalli,01-11-2019,November,2019,0
Peddapalli,01-12-2019,December,2019,0
Rajanna Sircilla ,01-01-2019,January,2019,0
Rajanna Sircilla ,01-02-2019,February,2019,0
Rajanna Sircilla ,01-03-2019,March,2019,0
Rajanna Sircilla ,01-04-2019,April,2019,0
Rajanna Sircilla ,01-05-2019,May,2019,0
Rajanna Sircilla ,01-06-2019,June,2019,0
Rajanna Sircilla ,01-07-2019,July,2019,0
Rajanna Sircilla ,01-08-2019,August,2019,0
Rajanna Sircilla ,01-09-2019,September,2019,0
Rajanna Sircilla ,01-10-2019,October,2019,0
Rajanna Sircilla ,01-11-2019,November,2019,0
Rajanna Sircilla ,01-12-2019,December,2019,0
Ranga Reddy,01-01-2019,January,2019, 
Ranga Reddy,01-02-2019,February,2019, 
Ranga Reddy,01-03-2019,March,2019, 
Ranga Reddy,01-04-2019,April,2019, 
Ranga Reddy,01-05-2019,May,2019, 
Ranga Reddy,01-06-2019,June,2019, 
Ranga Reddy,01-07-2019,July,2019, 
Ranga Reddy,01-08-2019,August,2019, 
Ranga Reddy,01-09-2019,September,2019, 
Ranga Reddy,01-10-2019,October,2019, 
Ranga Reddy,01-11-2019,November,2019, 
Ranga Reddy,01-12-2019,December,2019, 
Sangareddy ,01-01-2019,January,2019,0
Sangareddy ,01-02-2019,February,2019,0
Sangareddy ,01-03-2019,March,2019,0
Sangareddy ,01-04-2019,April,2019,0
Sangareddy ,01-05-2019,May,2019,0
Sangareddy ,01-06-2019,June,2019,0
Sangareddy ,01-07-2019,July,2019,0
Sangareddy ,01-08-2019,August,2019,0
Sangareddy ,01-09-2019,September,2019,0
Sangareddy ,01-10-2019,October,2019,0
Sangareddy ,01-11-2019,November,2019,0
Sangareddy ,01-12-2019,December,2019,0
Siddipet,01-01-2019,January,2019,0
Siddipet,01-02-2019,February,2019,0
Siddipet,01-03-2019,March,2019,0
Siddipet,01-04-2019,April,2019,0
Siddipet,01-05-2019,May,2019,0
Siddipet,01-06-2019,June,2019,0
Siddipet,01-07-2019,July,2019,0
Siddipet,01-08-2019,August,2019,0
Siddipet,01-09-2019,September,2019,0
Siddipet,01-10-2019,October,2019,0
Siddipet,01-11-2019,November,2019,0
Siddipet,01-12-2019,December,2019,0
Suryapet,01-01-2019,January,2019,0
Suryapet,01-02-2019,February,2019,0
Suryapet,01-03-2019,March,2019,0
Suryapet,01-04-2019,April,2019,0
Suryapet,01-05-2019,May,2019,0
Suryapet,01-06-2019,June,2019,0
Suryapet,01-07-2019,July,2019,0
Suryapet,01-08-2019,August,2019,0
Suryapet,01-09-2019,September,2019,0
Suryapet,01-10-2019,October,2019,0
Suryapet,01-11-2019,November,2019,0
Suryapet,01-12-2019,December,2019,0
Vikarabad,01-01-2019,January,2019, 
Vikarabad,01-02-2019,February,2019, 
Vikarabad,01-03-2019,March,2019, 
Vikarabad,01-04-2019,April,2019, 
Vikarabad,01-05-2019,May,2019, 
Vikarabad,01-06-2019,June,2019, 
Vikarabad,01-07-2019,July,2019, 
Vikarabad,01-08-2019,August,2019, 
Vikarabad,01-09-2019,September,2019, 
Vikarabad,01-10-2019,October,2019, 
Vikarabad,01-11-2019,November,2019, 
Vikarabad,01-12-2019,December,2019, 
Wanaparthy ,01-01-2019,January,2019,0
Wanaparthy ,01-02-2019,February,2019,0
Wanaparthy ,01-03-2019,March,2019,0
Wanaparthy ,01-04-2019,April,2019,0
Wanaparthy ,01-05-2019,May,2019,0
Wanaparthy ,01-06-2019,June,2019,0
Wanaparthy ,01-07-2019,July,2019,0
Wanaparthy ,01-08-2019,August,2019,0
Wanaparthy ,01-09-2019,September,2019,0
Wanaparthy ,01-10-2019,October,2019,0
Wanaparthy ,01-11-2019,November,2019,0
Wanaparthy ,01-12-2019,December,2019,0
Warangal (Rural),01-01-2019,January,2019,0
Warangal (Rural),01-02-2019,February,2019,0
Warangal (Rural),01-03-2019,March,2019,0
Warangal (Rural),01-04-2019,April,2019,0
Warangal (Rural),01-05-2019,May,2019,0
Warangal (Rural),01-06-2019,June,2019,0
Warangal (Rural),01-07-2019,July,2019,0
Warangal (Rural),01-08-2019,August,2019,0
Warangal (Rural),01-09-2019,September,2019,0
Warangal (Rural),01-10-2019,October,2019,0
Warangal (Rural),01-11-2019,November,2019,0
Warangal (Rural),01-12-2019,December,2019,0
Warangal (Urban),01-01-2019,January,2019,175
Warangal (Urban),01-02-2019,February,2019,200
Warangal (Urban),01-03-2019,March,2019,200
Warangal (Urban),01-04-2019,April,2019,190
Warangal (Urban),01-05-2019,May,2019,175
Warangal (Urban),01-06-2019,June,2019,195
Warangal (Urban),01-07-2019,July,2019,185
Warangal (Urban),01-08-2019,August,2019,230
Warangal (Urban),01-09-2019,September,2019,240
Warangal (Urban),01-10-2019,October,2019,220
Warangal (Urban),01-11-2019,November,2019,230
Warangal (Urban),01-12-2019,December,2019,210
Yadadri Bhongir,01-01-2019,January,2019,0
Yadadri Bhongir,01-02-2019,February,2019,0
Yadadri Bhongir,01-03-2019,March,2019,0
Yadadri Bhongir,01-04-2019,April,2019,0
Yadadri Bhongir,01-05-2019,May,2019,0
Yadadri Bhongir,01-06-2019,June,2019,0
Yadadri Bhongir,01-07-2019,July,2019,0
Yadadri Bhongir,01-08-2019,August,2019,0
Yadadri Bhongir,01-09-2019,September,2019,0
Yadadri Bhongir,01-10-2019,October,2019,0
Yadadri Bhongir,01-11-2019,November,2019,0
Yadadri Bhongir,01-12-2019,December,2019,0
